Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,1.877529,1.858939,1.866375,0.320674,3146900
1972-06-02,1.866375,1.892400,1.866375,1.884965,0.323868,1136400
1972-06-05,1.884965,1.896118,1.881247,1.888682,0.324507,480700
1972-06-06,1.888682,1.899836,1.877529,1.877529,0.322591,1338100
1972-06-07,1.877529,1.884965,1.866375,1.873811,0.321952,894300
1972-06-08,1.873811,1.884965,1.862657,1.884965,0.323868,369800
1972-06-09,1.873811,1.873811,1.862657,1.862657,0.320036,527800
1972-06-12,1.862657,1.881247,1.855222,1.866375,0.320674,376500
1972-06-13,1.866375,1.881247,1.855222,1.870093,0.321313,231900
1972-06-14,1.866375,1.866375,1.829196,1.844068,0.316842,353000
1972-06-15,1.844068,1.862657,1.844068,1.858939,0.319397,443800
1972-06-16,1.858939,1.862657,1.844068,1.844068,0.316842,363100
1972-06-19,1.844068,1.851504,1.832914,1.847786,0.317480,504300
1972-06-20,1.847786,1.862657,1.847786,1.858939,0.319397,316000
1972-06-21,1.858939,1.870093,1.851504,1.862657,0.320036,595000
1972-06-22,1.855222,1.855222,1.836632,1.844068,0.316842,484100
1972-06-23,1.844068,1.855222,1.821761,1.821761,0.313009,541300
1972-06-26,1.821761,1.836632,1.810607,1.836632,0.315564,238700
1972-06-27,1.836632,1.840350,1.825479,1.832914,0.314925,292500
1972-06-28,1.832914,1.844068,1.832914,1.836632,0.315564,3573900
1972-06-29,1.836632,1.847786,1.832914,1.847786,0.317480,369800
1972-06-30,1.847786,1.870093,1.847786,1.858939,0.319397,648800
1972-07-03,1.858939,1.862657,1.847786,1.851504,0.318119,302500
1972-07-05,1.851504,1.862657,1.847786,1.858939,0.319397,2841000
1972-07-06,1.858939,1.884965,1.855222,1.858939,0.319397,2067700
1972-07-07,1.858939,1.862657,1.851504,1.858939,0.319397,527800
1972-07-10,1.858939,1.877529,1.858939,1.858939,0.319397,282400
1972-07-11,1.858939,1.862657,1.847786,1.847786,0.317480,699300
1972-07-12,1.847786,1.858939,1.847786,1.847786,0.317480,480700
