Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,7.927273,7.672727,7.763637,5.191778,377800
1973-02-22,0.000000,7.763637,7.581818,7.581818,5.070193,225400
1973-02-23,0.000000,7.563636,7.400000,7.436364,4.972920,173000
1973-02-26,0.000000,7.454545,7.181818,7.327273,4.899970,421800
1973-02-27,0.000000,7.327273,7.163636,7.163636,4.790540,250800
1973-02-28,0.000000,7.345455,7.000000,7.309091,4.887811,386600
1973-03-01,0.000000,7.290909,7.145454,7.145454,4.778379,191600
1973-03-02,0.000000,7.072727,6.890909,7.036364,4.705429,390400
1973-03-05,0.000000,7.000000,6.472727,6.636364,4.437939,859200
1973-03-06,0.000000,6.727273,6.563636,6.727273,4.498730,332600
1973-03-07,0.000000,7.054545,6.872727,6.981818,4.668954,877000
1973-03-08,0.000000,7.054545,6.545455,6.909091,4.620319,260200
1973-03-09,0.000000,6.909091,6.618182,6.654545,4.450095,1184200
1973-03-12,0.000000,6.600000,6.327273,6.363636,4.255558,452600
1973-03-13,0.000000,6.690909,6.254546,6.436364,4.304191,426000
1973-03-14,0.000000,6.690909,6.454545,6.690909,4.474411,268600
1973-03-15,0.000000,6.672727,6.600000,6.618182,4.425778,78600
1973-03-16,0.000000,6.654545,6.509091,6.600000,4.413622,287600
1973-03-19,0.000000,6.545455,6.454545,6.527273,4.364985,444600
1973-03-20,0.000000,6.545455,6.436364,6.509091,4.352826,225400
1973-03-21,0.000000,6.581818,6.200000,6.218182,4.158286,243200
1973-03-22,0.000000,6.181818,5.981818,6.072727,4.061018,326200
1973-03-23,0.000000,6.254546,6.018182,6.254546,4.182604,255600
1973-03-26,0.000000,6.527273,6.127273,6.436364,4.304191,291800
1973-03-27,0.000000,6.781818,6.400000,6.745454,4.510889,401400
1973-03-28,0.000000,6.981818,6.690909,6.818182,4.559525,426000
1973-03-29,0.000000,7.145454,6.800000,6.981818,4.668954,325800
1973-03-30,0.000000,7.018182,6.781818,6.872727,4.596001,218400
1973-04-02,0.000000,6.909091,6.745454,6.836364,4.571683,113800
1973-04-03,0.000000,7.000000,6.800000,6.818182,4.559525,207400
1973-04-04,0.000000,6.890909,6.727273,6.727273,4.498730,134600
1973-04-05,0.000000,6.745454,6.509091,6.727273,4.498730,116800
1973-04-06,0.000000,6.945455,6.690909,6.945455,4.644636,177600
1973-04-09,0.000000,7.145454,6.818182,7.109091,4.754066,158600
1973-04-10,0.000000,7.254546,7.145454,7.236363,4.839175,181800
1973-04-11,0.000000,7.236363,7.036364,7.127273,4.766225,108400
1973-04-12,0.000000,7.236363,7.090909,7.200000,4.814859,100600
1973-04-13,0.000000,7.236363,7.109091,7.127273,4.766225,140800
1973-04-16,0.000000,7.181818,6.836364,6.854546,4.583843,213600
1973-04-17,0.000000,6.818182,6.563636,6.763637,4.523048,374000
1973-04-18,0.000000,6.781818,6.654545,6.763637,4.523048,152400
1973-04-19,0.000000,6.854546,6.545455,6.636364,4.437939,388200
1973-04-23,0.000000,6.636364,6.400000,6.472727,4.332974,173000
1973-04-24,0.000000,6.400000,6.145454,6.200000,4.150406,356600
1973-04-25,0.000000,6.127273,5.945455,6.018182,4.028692,931200
1973-04-26,0.000000,6.218182,5.945455,6.109091,4.089550,603400
1973-04-27,0.000000,6.254546,6.090909,6.090909,4.077377,170800
1973-04-30,0.000000,6.127273,5.909091,6.000000,4.016522,220000
1973-05-01,0.000000,6.163636,5.981818,6.090909,4.077377,278800
1973-05-02,0.000000,6.218182,6.109091,6.163636,4.126061,256200
1973-05-03,0.000000,6.563636,6.072727,6.563636,4.393832,305000
1973-05-04,0.000000,6.818182,6.654545,6.709091,4.491201,235600
1973-05-07,0.000000,6.745454,6.563636,6.672727,4.466858,90600
1973-05-08,0.000000,6.836364,6.654545,6.836364,4.576400,329000
1973-05-09,0.000000,7.090909,6.818182,6.836364,4.576400,242400
1973-05-10,0.000000,6.945455,6.690909,6.727273,4.503372,237800
1973-05-11,0.000000,6.727273,6.636364,6.672727,4.466858,124800
1973-05-14,0.000000,6.545455,6.345455,6.363636,4.259949,353200
1973-05-15,0.000000,6.436364,6.218182,6.400000,4.284290,238200
1973-05-16,0.000000,6.581818,6.400000,6.527273,4.369488,133600
1973-05-17,0.000000,6.472727,6.309091,6.327273,4.235605,264000
1973-05-18,0.000000,6.218182,5.963636,6.127273,4.101719,329000
1973-05-21,0.000000,6.181818,5.800000,6.163636,4.126061,452200
1973-05-22,0.000000,6.472727,6.254546,6.418182,4.296462,318000
1973-05-23,0.000000,6.527273,6.309091,6.400000,4.284290,82400
1973-05-24,0.000000,6.581818,6.363636,6.581818,4.406003,195800
1973-05-25,0.000000,6.745454,6.636364,6.709091,4.491201,95200
1973-05-29,0.000000,6.800000,6.636364,6.654545,4.454688,57600
1973-05-30,0.000000,6.636364,6.472727,6.472727,4.332974,86400
1973-05-31,0.000000,6.490909,6.272727,6.381818,4.272119,290600
1973-06-01,0.000000,6.363636,6.163636,6.181818,4.138234,410200
1973-06-04,0.000000,6.181818,6.109091,6.145454,4.113891,293200
1973-06-05,0.000000,6.290909,6.109091,6.272727,4.199091,157800
1973-06-06,0.000000,6.472727,6.254546,6.363636,4.259949,484400
1973-06-07,0.000000,6.509091,6.363636,6.490909,4.345147,88400
